Customer ID,Transaction Date,Transaction Amount,Category,Region,Prior Purchases,Engagement Tier
CUST001,2022-11-12,423.24,Clothing,East,0,New
CUST001,2022-12-22,291.99,Clothing,West,1,Active
CUST001,2023-08-03,301.5,Home,South,2,Active
CUST001,2024-03-09,380.87,Clothing,West,3,Active
CUST001,2024-08-17,703.96,Home,North,4,Active
CUST001,2024-09-27,748.58,Clothing,East,5,Power User
CUST002,2022-03-01,461.51,Electronics,South,0,New
CUST002,2023-04-14,819.05,Books,East,1,Active
CUST003,2022-10-26,809.37,Clothing,North,0,New
CUST003,2023-11-14,728.83,Clothing,North,1,Active
CUST003,2024-01-10,955.32,Books,West,2,Active
CUST003,2024-04-08,589.92,Books,West,3,Active
CUST004,2023-07-14,649.02,Health,North,0,New
CUST005,2022-12-27,507.65,Home,South,0,New
CUST006,2023-04-06,925.45,Books,North,0,New
CUST007,2022-01-06,951.21,Books,South,0,New
CUST007,2022-02-12,311.2,Clothing,North,1,Active
CUST007,2024-06-01,805.45,Home,East,2,Active
CUST007,2024-06-25,828.19,Clothing,North,3,Active
CUST007,2024-11-27,54.99,Clothing,West,4,Active
CUST008,2022-02-01,970.21,Health,West,0,New
CUST008,2024-07-20,453.96,Home,East,1,Active
CUST009,2022-01-29,30.38,Electronics,East,0,New
CUST009,2022-07-21,124.71,Books,East,1,Active
CUST009,2023-04-24,898.24,Health,East,2,Active
CUST010,2024-04-16,463.67,Health,West,0,New
CUST010,2024-06-16,347.4,Clothing,West,1,Active
CUST010,2024-07-30,791.72,Books,East,2,Active
CUST011,2023-10-12,470.94,Clothing,South,0,New
CUST011,2024-04-29,78.67,Home,East,1,Active
CUST011,2024-05-02,103.5,Books,East,2,Active
CUST012,2022-04-16,445.75,Health,South,0,New
CUST012,2022-05-21,777.38,Electronics,West,1,Active
CUST012,2024-03-08,54.85,Health,West,2,Active
CUST012,2024-08-12,110.11,Electronics,South,3,Active
CUST012,2024-11-28,288.15,Home,South,4,Active
CUST013,2022-09-16,236.51,Clothing,South,0,New
CUST013,2023-07-12,287.96,Health,West,1,Active
CUST013,2023-09-04,365.9,Health,West,2,Active
CUST014,2023-05-30,244.88,Books,East,0,New
CUST014,2024-02-25,439.51,Books,South,1,Active
CUST015,2022-07-10,83.3,Clothing,East,0,New
CUST015,2023-01-08,153.45,Electronics,East,1,Active
CUST015,2023-08-22,148.68,Electronics,West,2,Active
CUST015,2023-09-04,705.46,Health,West,3,Active
CUST015,2023-09-15,516.23,Electronics,North,4,Active
CUST016,2023-04-19,534.35,Electronics,West,0,New
CUST016,2023-06-01,749.03,Books,West,1,Active
CUST016,2023-07-26,966.99,Home,North,2,Active
CUST016,2023-08-30,743.36,Clothing,North,3,Active
CUST017,2022-07-25,72.92,Clothing,East,0,New
CUST017,2022-10-05,810.04,Electronics,East,1,Active
CUST017,2023-04-05,347.66,Electronics,East,2,Active
CUST018,2022-05-14,969.89,Books,North,0,New
CUST018,2023-01-26,245.26,Clothing,East,1,Active
CUST018,2023-04-21,102.17,Home,West,2,Active
CUST018,2023-09-20,704.95,Home,South,3,Active
CUST018,2023-09-22,797.83,Home,South,4,Active
CUST018,2023-12-08,699.01,Home,South,5,Power User
CUST018,2024-07-10,906.33,Books,South,6,Power User
CUST018,2024-08-21,986.77,Books,West,7,Power User
CUST019,2022-06-15,149.51,Health,North,0,New
CUST019,2023-04-18,559.65,Books,West,1,Active
CUST019,2023-04-26,636.77,Electronics,North,2,Active
CUST019,2023-11-12,641.06,Clothing,North,3,Active
CUST019,2023-11-23,797.23,Home,South,4,Active
CUST019,2024-12-06,461.1,Clothing,East,5,Power User
CUST020,2023-07-06,581.13,Books,East,0,New
CUST020,2024-04-14,579.72,Home,West,1,Active
CUST021,2022-04-22,266.19,Clothing,West,0,New
CUST021,2022-05-23,601.92,Books,North,1,Active
CUST021,2023-01-15,249.63,Health,East,2,Active
CUST021,2023-09-18,800.31,Home,West,3,Active
CUST021,2023-10-14,547.22,Electronics,South,4,Active
CUST022,2023-01-20,675.41,Home,North,0,New
CUST022,2024-10-21,83.06,Electronics,West,1,Active
CUST023,2022-01-26,605.1,Books,South,0,New
CUST024,2022-02-05,834.12,Electronics,South,0,New
CUST024,2022-03-26,949.4,Home,East,1,Active
CUST024,2022-09-16,758.0,Home,North,2,Active
CUST024,2023-07-16,185.34,Health,South,3,Active
CUST024,2024-02-27,404.52,Clothing,North,4,Active
CUST024,2024-11-05,633.1,Electronics,North,5,Power User
CUST025,2022-04-04,810.31,Books,South,0,New
CUST025,2023-05-18,15.01,Electronics,South,1,Active
CUST025,2023-05-22,169.2,Electronics,East,2,Active
CUST026,2022-05-27,97.61,Home,North,0,New
CUST026,2023-06-01,332.15,Home,East,1,Active
CUST026,2023-07-11,725.23,Clothing,East,2,Active
CUST026,2023-11-20,329.73,Electronics,East,3,Active
CUST027,2022-01-21,67.5,Home,East,0,New
CUST027,2022-03-24,74.4,Electronics,West,1,Active
CUST027,2024-01-26,615.6,Electronics,East,2,Active
CUST027,2024-05-13,846.43,Electronics,South,3,Active
CUST028,2022-11-21,329.97,Clothing,North,0,New
CUST028,2023-06-07,661.04,Electronics,East,1,Active
CUST028,2024-02-08,760.27,Electronics,East,2,Active
CUST028,2024-06-11,378.3,Health,South,3,Active
CUST028,2024-07-30,100.29,Home,North,4,Active
CUST029,2022-01-03,380.79,Clothing,East,0,New
CUST029,2022-09-17,86.21,Books,South,1,Active
CUST029,2022-11-07,432.84,Health,East,2,Active
CUST029,2022-12-27,60.96,Clothing,North,3,Active
CUST029,2024-04-12,940.83,Electronics,East,4,Active
CUST030,2022-11-01,897.13,Electronics,West,0,New
CUST030,2024-02-07,362.41,Health,East,1,Active
CUST030,2024-07-21,300.28,Home,West,2,Active
CUST030,2024-08-09,357.41,Electronics,South,3,Active
CUST031,2023-03-26,392.87,Health,North,0,New
CUST031,2023-10-01,381.83,Clothing,North,1,Active
CUST032,2022-04-20,44.04,Health,West,0,New
CUST032,2024-08-27,814.67,Health,South,1,Active
CUST033,2023-01-28,374.11,Electronics,North,0,New
CUST033,2023-01-30,635.98,Clothing,East,1,Active
